,ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
1312,576,L.A. Burdick (Felchlin),U.S.A.,2010,Grenada,Grenada,75%,"5- B,S,C,V,L","creamy, cocoa, spice",3.25
1313,576,L.A. Burdick (Felchlin),U.S.A.,2010,Dominican Republic,Dominican Republic,74%,"5- B,S,C,V,L","simple, rich hot cocoa",3.75
1314,682,L.A. Burdick (Felchlin),U.S.A.,2011,Ecuador,Quito,74%,"5- B,S,C,V,L","spicy, roasty, coffee",3.75
1315,891,L.A. Burdick (Felchlin),U.S.A.,2012,Peru,Peru,74%,"5- B,S,C,V,L","floral, soapy, earthy",3.25
1316,927,L.A. Burdick (Felchlin),U.S.A.,2012,Venezuela,Chuao,68%,"5- B,S,C,V,L","berry, rich cocoa dominates",3.75
1317,891,L.A. Burdick (Felchlin),U.S.A.,2012,Brazil,Brazil,70%,"5- B,S,C,V,L","creamy, woody, nutty",4.0
1318,2426,La Cascade du Chocolat,U.S.A.,2019,Fiji,"Fiji, batch 51019",68%,"3- B,S,C","unrefined, sweet, basic cocoa",3.0
1319,1892,La Chocolaterie Nanairo,Japan,2016,Peru,"Lumas, 2015 Harvest, Batch 6, brown sugar",70%,,"molasses, cardboard, off note",2.25
1320,1892,La Chocolaterie Nanairo,Japan,2016,Peru,"Lumas, 2015 Harvest, Batch 7",70%,,"metallic, cardboard, fruit",2.5
1321,1892,La Chocolaterie Nanairo,Japan,2016,Belize,"Belize, 2014 Harvest, Batch 9",70%,,"nutty, fatty",3.0
1322,1892,La Chocolaterie Nanairo,Japan,2016,Peru,"Tumbes, 2013 Harvest, Batch 8",70%,,"grit, earthy, musty",3.0
1323,2138,La Chorena,U.S.A.,2018,Dominican Republic,Oko Caribe,70%,"2- B,S","anise, spicy, earthy",3.0
1324,2138,La Chorena,U.S.A.,2018,Peru,Maranon,75%,"2- B,S","earthy, molasses, dried fruit",3.0
1325,2138,La Chorena,U.S.A.,2018,Belize,"Maya Mtn, Toledo",70%,"4- B,S,C,L","molasses, high acidity",3.25
1326,2138,La Chorena,U.S.A.,2018,Guatemala,"Lachua, Cacao Verapaz",70%,"2- B,S","tart, molasses, grits",3.25
1327,2254,La Feverie (Hasnaa),France,2018,Belize,"Maya Mtn, 2017 harvest",70%,"2- B,S","fruit, cocoa, grape",3.5
1328,2254,La Feverie (Hasnaa),France,2018,Guatemala,"Asochivite, 2017 harvest",70%,"2- B,S","dry, melon, cocoa",3.5
1329,2358,La Feverie (Hasnaa),France,2019,Peru,"Piura Blanco, 2018 harvest",72%,"2- B,S","sandy, grapes",3.5
1330,230,La Maison du Chocolat (Valrhona),France,2008,Blend,"Cuana, 2008, Ven., Indonesia, Ecuad.",74%,"4- B,S,C,L","roasty, dark berry, rich",3.5
1331,439,La Maison du Chocolat (Valrhona),France,2009,Blend,Kuruba,60%,"4- B,S,C,L","rich, sweet, cocoa, intense",3.0
1332,346,La Maison du Chocolat (Valrhona),France,2009,Ghana,Akosombo,68%,"4- B,S,C,L","rich cocoa, burning sensation",3.25
1333,346,La Maison du Chocolat (Valrhona),France,2009,Venezuela,"Porcelana, Pariguan",69%,"4- B,S,C,L","nutty, grassy, rich cocoa",3.5
1334,445,La Maison du Chocolat (Valrhona),France,2009,Blend,Orinoco,60%,"4- B,S,C,L","cocoa, caramel, sweet",3.75
1335,741,La Maison du Chocolat (Valrhona),France,2011,Grenada,Grenada,68%,"4- B,S,C,L","rich, vegetal, banana, spice",3.5
1336,891,La Maison du Chocolat (Valrhona),France,2012,Dominican Republic,Loma Sotavento,66%,"4- B,S,C,L","nutty, pear, sour milk",3.5
1337,1121,La Maison du Chocolat (Valrhona),France,2013,Blend,"Cuana, 2013, Africa, Carribean, C. Am.",74%,"4- B,S,C,L","brownie, cocoa, sour, sweet",2.75
1338,1145,La Maison du Chocolat (Valrhona),France,2013,Tobago,Tobago,60%,"4- B,S,C,L","creamy, rich, dairy, nutty",3.25
1339,1189,La Maison du Chocolat (Valrhona),France,2013,Ecuador,"Acarigua, w/ nibs",56%,"4- B,S,C,L","sweet, nutty, cocoa",3.25
1340,721,La Oroquidea,Peru,2011,Peru,Peruvian Amazon,72%,,"peanut butter, burnt rubber",2.5
1341,713,La Pepa de Oro,Ecuador,2011,Ecuador,Vinces,60%,,"sweet, fudgey, tang",3.25
1342,2186,La Rifa,Mexico,2018,Mexico,"Xoconusco, Chiapas, Coop CASFA",70%,"2- B,S","mild hammy, roasty, sour",3.0
1343,2182,La Rifa,Mexico,2018,Mexico,"Almendra Blanca, Blanco Marfil, Jimenez Garcia",70%,"2- B,S","rich cocoa, mild fruit & nut",3.5
1344,2186,La Rifa,Mexico,2018,Mexico,"Uranga, Chiapas, Jimenez Garcia farm",70%,"2- B,S","citrus,prononced orange",3.5
1345,1434,Laia aka Chat-Noir,France,2014,Cuba,Cuba,70%,"4- B,S,C,L","fatty, roasty, coffee, off note",2.75
1346,1438,Laia aka Chat-Noir,France,2014,Blend,Trinidad-Tobago,68%,"4- B,S,C,L","nutty, woody, leathery",2.75
1347,1590,Laia aka Chat-Noir,France,2015,Madagascar,"Madagascar, Batch 59/100",75%,"4- B,S,C,L","roasty, sour, cardboard",2.75
1348,1590,Laia aka Chat-Noir,France,2015,Vietnam,"Vietnam, Batch 50/100",75%,"4- B,S,C,L","gritty, roasty, waxy, off",2.75
1349,1590,Laia aka Chat-Noir,France,2015,Cuba,"Cuba, Batch 59/100",75%,"4- B,S,C,L","slight burnt, astringent, fruit",3.0
1350,1594,Laia aka Chat-Noir,France,2015,Ivory Coast,"Ivory Coast, Batch 56/100",75%,"4- B,S,C,L","roasty, nutty, rich cocoa",3.0
1351,1590,Laia aka Chat-Noir,France,2015,Peru,"Peru, Batch 51/100",75%,"4- B,S,C,L","sandy, fatty, roasty, fruit",3.25
1352,1642,Laia aka Chat-Noir,France,2015,Brazil,"Bahia, Batch 148",75%,"4- B,S,C,L","smokey, rich cocoa, spice",3.25
1353,1638,Laia aka Chat-Noir,France,2015,Sao Tome,"Sao Tome, Batch 151",75%,"4- B,S,C,L","rich, roasty, nutty, smoke",3.5
1354,1642,Laia aka Chat-Noir,France,2015,Vietnam,"Lam Dong, Batch 153",75%,"4- B,S,C,L","creamy, mild honey, floral",3.75
1355,927,Lajedo do Ouro,Brazil,2012,Brazil,Catongo,70%,,"floral, caramel",3.5
1356,327,Lake Champlain (Callebaut),U.S.A.,2009,Tanzania,Tanzania,75%,,"dry, roasty, toffee",2.5
1357,833,L'Amourette,U.S.A.,2012,Venezuela,Carenero Superior,75%,"5- B,S,C,V,L","chalky, fatty, sweet",3.0
1358,833,L'Amourette,U.S.A.,2012,Venezuela,Rio Caribe,75%,"5- B,S,C,V,L","chalky, cocoa, tangy",3.0
1359,853,L'Amourette,U.S.A.,2012,Blend,"Peru, Ecuador, Venezuela",72%,"5- B,S,C,V,L","fatty, nutty, woody",3.0
1360,1784,L'Amourette,U.S.A.,2016,Nicaragua,Rugoso,80%,"2- B,S","spicy, grassy, roasty",3.5
1361,2048,Land,U.K.,2018,Nicaragua,Nueva Guinea,71%,"3- B,S,C","simple, earthy, cocoa",3.0
1362,2048,Land,U.K.,2018,Honduras,San Pedro Sula,70%,"3- B,S,C","sandy, rich cocoa",3.25
1363,2048,Land,U.K.,2018,Nicaragua,"Nicaliso, Bocay",73%,"3- B,S,C","complex, dairy, roasty",3.5
1364,1972,Landmark (Amano),U.S.A.,2017,Bolivia,"Tranquilidad, Itinez Province",74%,"3- B,S,C","well balanced, melon",3.75
1365,2266,Legast,Belgium,2019,Colombia,"Chucuri, finca los lagos el Carmen",70%,"3- B,S,C","sandy, off, hammy",2.75
1366,2262,Legast,Belgium,2019,Costa Rica,Upala,70%,"3- B,S,C","base cocoa, mild ham, woody",3.25
1367,2266,Legast,Belgium,2019,Peru,Piura,70%,"3- B,S,C","sandy, light color, grape",3.5
1368,1371,Letterpress,U.S.A.,2014,Peru,Maranura,70%,"2- B,S","intense, sticky, cocoa",3.5
1369,1566,Letterpress,U.S.A.,2015,Costa Rica,San Andres,70%,"2- B,S","roasty, black pepper, woody",3.0
1370,1562,Letterpress,U.S.A.,2015,Bolivia,Beniamo,70%,"2- B,S","dried fruit, nutty, mushroom",3.25
1371,1566,Letterpress,U.S.A.,2015,Dominican Republic,"La Red, Guaconejo",70%,"2- B,S","red fruit, brownie",3.25
1372,1562,Letterpress,U.S.A.,2015,Trinidad,"San Juan Estate, Gran Couva",70%,"2- B,S","cocoa, spice, fruit",3.5
1373,1566,Letterpress,U.S.A.,2015,Tanzania,Kokoa Kamili,70%,"2- B,S","subtle, spicy, banana",3.5
1374,1728,Letterpress,U.S.A.,2016,Liberia,Liberia,70%,"2- B,S","floral, black licorice",3.25
1375,1952,Letterpress,U.S.A.,2017,Belize,"Maya Mtn, Batch 18, Heirloom",70%,"2- B,S","smokey, mild berry",3.25
1376,1952,Letterpress,U.S.A.,2017,Honduras,"La Masica, Batch 7, FHIA",70%,"2- B,S","strong raspberry, mocha",3.5
1377,1984,Letterpress,U.S.A.,2017,Peru,Ucayali,70%,"3- B,S,C","mild, licorice, coffee, cocoa",4.0
1378,2122,Letterpress,U.S.A.,2018,Ghana,Ashanti,70%,"3- B,S,C",brownie,3.75
1379,2338,Letterpress,U.S.A.,2019,Jamaica,"Bachelor's Hall, batch 0001",70%,"3- B,S,C","woody, mocha, molasses",3.25
1380,2442,Letterpress,U.S.A.,2019,Bolivia,"Tranquilidad, beniano",70%,"3- B,S,C","spoiled milk, sweet, molasses",3.25
1381,2562,Letterpress,U.S.A.,2021,Sao Tome & Principe,"Satocao, limited ed., batch 2",70%,"3- B,S,C","buttery, sunflower, astringent",3.5
1382,2562,Letterpress,U.S.A.,2021,U.S.A.,"Maui Kuia E., Hawaii, 2018-2019 h., batch 1",70%,"3- B,S,C",home baked banana nut bread,3.75
1383,1231,Levy,Finland,2014,Madagascar,Sambirano,71%,"3- B,S,C","sandy, citrus",3.5
1384,1856,Lilla,Finland,2016,Madagascar,Madagascar,70%,"2- B,S","sweet edge, bright fruit, off",3.0
1385,947,Lillie Belle,U.S.A.,2012,Blend,"Purple Haze, Venezuela, Dom. Rep.",75%,"2- B,S","grits, roasted, nutty",2.75
1386,947,Lillie Belle,U.S.A.,2012,Dominican Republic,"The Other One, Grand Cru",74%,"2- B,S","fatty, roasty, cocoa",3.0
1387,855,Lillie Belle,U.S.A.,2012,Peru,Perfect Illusion,65%,"2- B,S","creamy, strawberry, cocoa",3.5
1388,903,Lillie Belle,U.S.A.,2012,Bolivia,"Bolivia, Wild Thing",68%,"2- B,S","fatty, nutty, melon like",3.5
1389,947,Lillie Belle,U.S.A.,2012,Bolivia,Wild Thing,68%,"2- B,S","fatty, grassy, cocoa",3.5
1390,903,Lillie Belle,U.S.A.,2012,Peru,La Selva,68%,"2- B,S","rich cocoa, spicy edge",3.75
1391,157,Lindt & Sprungli,Switzerland,2007,Blend,Excellence (US Version),85%,"4- B,S,C,V","harsh burnt, mild cocoa, tang",3.0
1392,2538,Lirio,U.S.A.,2020,Sierra Leone,"Gola Rainforest, batch 920",72%,"2- B,S","grassy, rubbery, chemical",2.5
1393,2538,Lirio,U.S.A.,2020,India,"Anamalai, batch 970",72%,"2- B,S","basic cocoa, dirty/burnt edge",3.0
1394,2538,Lirio,U.S.A.,2020,Vietnam,"Tien Giang, batch 970",72%,"2- B,S","spicy, sweet, cocoa",3.0
1395,1049,Loiza,Puerto Rico,2013,Puerto Rico,Puerto Rico,65%,"5- B,S,C,V,L","black pepper, vanilla, harsh",2.5
1396,1093,Lonohana,U.S.A.,2013,U.S.A.,"O'ahu Island, Opaeula Estate, Nene, CG Exclusive",71%,"4- B,S,C,V","aluminum, mild coffee, roasty",3.0
1397,1097,Lonohana,U.S.A.,2013,U.S.A.,"O'ahu Island, Opaeula Estate, Ele'ele",72%,"4- B,S,C,V","strong, brandy, smoke",3.0
1398,1097,Lonohana,U.S.A.,2013,U.S.A.,"Hawai'i Island, Hawaiian Crown, Kona Vanilla",70%,"4- B,S,C,V","sandy, floral, vanilla, candy",3.5
1399,1395,Lonohana,U.S.A.,2014,U.S.A.,"O'ahu Island, Haleiwa E, 2014",65%,"4- B,S,C,V","sweet, candy-like, nutty",3.25
1400,1383,Lonohana,U.S.A.,2014,U.S.A.,"O'ahu Island, Haleiwa, Lonohana E., Kanahiku",70%,"2- B,S","spicy, candied, complex",3.75
1401,1395,Lonohana,U.S.A.,2014,U.S.A.,"O'ahu Island, Haleiwa E, 2014",75%,"4- B,S,C,V","dairy, pudding",3.75
1402,2590,Loon,U.S.A.,2021,Bolivia,Alto Beni,70%,"3- B,S,C","sweet, sl. smokiness, fruit",2.75
1403,2586,Loon,U.S.A.,2021,Belize,Maya Mountain,75%,"3- B,S,C","cherry, fatty, cocoa",3.0
1404,1502,Love Bar,U.S.A.,2015,Nicaragua,Nicaragua,75%,"2- B,S","multiple off flavors, metallic",2.0
1405,2194,Love Brown,Taiwan,2018,Nicaragua,Medalla,75%,"2- B,S",potting soil,2.5
1406,2194,Love Brown,Taiwan,2018,Sumatra,Sumatra,70%,"2- B,S","smokey, earthy, cocoa",3.0
1407,2198,Love Brown,Taiwan,2018,Nicaragua,O'Payo,80%,"2- B,S","nutty, mild dairy",3.25
1408,2198,Love Brown,Taiwan,2018,Nicaragua,Chuno,78%,"2- B,S",intense mocha flavor,3.5
1409,1976,Luisa Abram,Brazil,2017,Brazil,"Rio Purus, 2016 Harvest",81%,"2- B,S","oily, burnt, earthy",3.25
1410,2238,Luisa Abram,Brazil,2018,Brazil,"Rio Acara, Wild Amazon",70%,"2- B,S","rustic, basic cocoa, earthy",3.0
1411,2692,Luisa Abram,Brazil,2021,Brazil,Wild Jurua (limited edition for Caputo's),70%,"3- B,S,C","mild sweet honey, rum, off",3.25
1412,2518,Luisa's Vegan,U.K.,2020,Papua New Guinea,Karkar Island,72%,"3- B,S,C","smoke, fruit, ham, fatty",3.25
1413,552,Luker,Colombia,2010,Blend,"Selva, Colombia, Ecuador",46%,"5- B,S,C,V,L","very sweet, caramel, candy",2.75
1414,552,Luker,Colombia,2010,Blend,"Macondo, Colombia, Ecuador",60%,"5- B,S,C,V,L","sticky, marshmallow, cocoa",3.0
1415,552,Luker,Colombia,2010,Blend,"Misterio, Colombia, Ecuador",58%,"5- B,S,C,V,L","watered down coffee, cocoa",3.0
1416,552,Luker,Colombia,2010,Colombia,Santander,65%,"5- B,S,C,V,L","marshmallow, rich brownie",3.5
1417,2506,Lumineux,U.S.A.,2020,India,"Kerala State, GoGround, batch 88",72%,"3- B,S,C","deep cocoa, sl. pungent, sandy",3.0
1418,2502,Lumineux,U.S.A.,2020,Madagascar,"Bejofo E., Sambirano, batch 115",73%,"3- B,S,C","roasted pear, cocoa, sour",3.25
1419,2502,Lumineux,U.S.A.,2020,Tanzania,"Kilombero Valley, batch 74",75%,"3- B,S,C","fatty, dominant roast, spice",3.25
1420,2506,Lumineux,U.S.A.,2020,Uganda,"Semuliki Forest, Latitude Trading Co, batch 100",68%,"3- B,S,C","candied, sweet cocoa, roasty",3.25
1421,2506,Lumineux,U.S.A.,2020,Ivory Coast,"Cote d'Ivoire, batch 83",67%,"3- B,S,C","spice, coconut",3.5
1422,552,Machu Picchu Trading Co.,Peru,2010,Peru,Peru,55%,,"extremely sweet, vanilla",2.25
1423,721,Machu Picchu Trading Co.,Peru,2011,Peru,Peru,70%,,"vanilla, strong chemical",1.5
1424,2426,MaDe Atlantic City Chocolate Bar,U.S.A.,2019,Uganda,Uganda,75%,"3- B,S,C","gritty, roasty, rubbery",2.5
1425,2430,MaDe Atlantic City Chocolate Bar,U.S.A.,2019,Ghana,Ghana,75%,"3- B,S,C","gritty, cocoa base, ashey",2.75
1426,284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,67%,"5- B,S,C,V,L","sandy, red berry, cocoa",3.5
1427,288,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,75%,"5- B,S,C,V,L","sticky, bitter, nutty",3.5
1428,284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,70%,"5- B,S,C,V,L","sandy, woody, peanut butter",3.75
1429,284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,63%,"5- B,S,C,V,L","intense, nutty, cocoa",4.0
1430,2664,Madhu,U.S.A.,2021,Colombia,Tumaco,70%,"2- B,S","very sticky, nutty, woody",2.5
1431,607,Madre,U.S.A.,2010,Mexico,"Chiapas, Triple Cacao",72%,"4- B,S,C,V","raisiny, chewy",2.75
1432,672,Madre,U.S.A.,2011,Dominican Republic,Dominican,70%,"4- B,S,C,V","sandy, sweet, strong vanilla",2.5
1433,693,Madre,U.S.A.,2011,Costa Rica,Upala,70%,"4- B,S,C,V","sticky, strong vanilla, pepper",2.75
1434,991,Madre,U.S.A.,2012,U.S.A.,"Hawai'i Island, Hamakua Coast, Kokoleka",70%,"4- B,S,C,V","creamy, vanilla, rich fruit",3.25
1435,995,Madre,U.S.A.,2012,U.S.A.,"Criollo, Hawaii",70%,"4- B,S,C,V","creamy, burnt nuts, woody",3.25
1436,995,Madre,U.S.A.,2012,U.S.A.,Kaua'i Island,70%,"4- B,S,C,V","vanilla, brownie, peanut",3.5
1437,1085,Madre,U.S.A.,2013,Puerto Rico,Puerto Rico,70%,"4- B,S,C,V","intense vanilla, swiss miss",2.75
1438,1089,Madre,U.S.A.,2013,U.S.A.,"Hawai'i Island, Choobua, Kona",70%,"4- B,S,C,V","fatty, vanilla, candy-like",2.75
1439,1089,Madre,U.S.A.,2013,Mexico,"Xocunusco, Chiapas, Pichucalco",70%,"4- B,S,C,V","vanilla, earthy, caramel",2.75
1440,1085,Madre,U.S.A.,2013,Brazil,Brazil,70%,"4- B,S,C,V","strong vanilla, nut, coffee",3.5
1441,1940,Madre,U.S.A.,2017,Solomon Islands,Guadalcanal,73%,"2- B,S","mild earthy, mild cocoa, nut",3.5
1442,300,Maglio,Italy,2008,Tanzania,Africa,75%,"4- B,S,C,V","chalky, astringent, vanilla",2.0
1443,308,Maglio,Italy,2008,Ecuador,Ecuador,70%,"4- B,S,V,L","creamy, nutty, mass market",3.0
1444,308,Maglio,Italy,2008,Cuba,Cuba,70%,"5- B,S,C,V,L","nutty, cooling sensation",3.25
1445,308,Maglio,Italy,2008,Dominican Republic,Santo Domingo,70%,"5- B,S,C,V,L","creamy, hay, nutty",3.75
1446,531,Majani,Italy,2010,Ecuador,Ecuador,70%,"4- B,S,C,L","strong vanilla, some spice",2.0
1447,184,Malagasy (Chocolaterie Robert),Madagascar,2007,Madagascar,Sambirano 2006,75%,"4- B,S,C,L","cardboard, tea-like",2.75
1448,184,Malagasy (Chocolaterie Robert),Madagascar,2007,Madagascar,Mora Mora 2006,73%,"4- B,S,C,L","creamy, sublte grape notes",3.5
1449,1121,Malagos,Philippines,2013,Philippines,"Davao, Mt. Talamo foothills",65%,"5- B,S,C,V,L","sandy, sweet, cocoa",3.5
1450,2226,Malai,Thailand,2018,Thailand,Chantaburi,70%,"3- B,S*,C","gummy, smokey, hammy",2.75
1451,311,Malie Kai (Guittard),U.S.A.,2009,U.S.A.,"O'ahu Island, N. Shore, Waialua Estate",55%,"5- B,S,C,V,L","sweet, vanilla, easter candy",2.75
1452,502,Malie Kai (Guittard),U.S.A.,2010,U.S.A.,"O'ahu Island, N. Shore, Waialua Estate w/ nibs",55%,"5- B,S,C,V,L","creamy, crunchy, very sweet",3.5
1453,1856,Malmo,Sweden,2016,Venezuela,Chuao,70%,"3- B,S,C","hammy, unrecognizable",3.0
1454,821,Mana,U.S.A.,2012,Dominican Republic,Conacado,74%,"3- B,S,C","berry, nutty, sour",3.75
1455,1219,Mana,U.S.A.,2014,Peru,Peru,74%,"3- B,S,C","rubber, off medicinal",2.5
1456,1219,Mana,U.S.A.,2014,Venezuela,Venezuela,74%,"3- B,S,C","nutty, green",2.75
1457,1446,Mana,U.S.A.,2015,Ecuador,"Ecuador, batch 1212",74%,"2- B,S","soil, wet, off notes",2.5
1458,1331,Manifesto Cacao,Colombia,2014,Colombia,Colombia,70%,"4- B,S,C,L","muted, nutty",2.75
1459,1007,Manoa,U.S.A.,2012,U.S.A.,"Hawai'i Island, Hamakua, Hawaiian Crown, b. 176",72%,"3- B,S,C","oily, tangy, fruit, earthy",2.75
1460,1007,Manoa,U.S.A.,2012,Peru,"Piura, batch 173",72%,"3- B,S,C","banana, menthol, medicinal",3.0
1461,1003,Manoa,U.S.A.,2012,Liberia,"Liberia, batch 174",72%,"3- B,S,C","molassses, intense, off, herb",3.25
1462,1007,Manoa,U.S.A.,2012,U.S.A.,"O'ahu Island, Winward,Maunawili district, b. 151",72%,"3- B,S,C","molasses, sweet, cocoa",3.25
1463,1089,Manoa,U.S.A.,2013,U.S.A.,"O'ahu Island, Waiahole, b. 182",72%,"3- B,S,C","orange, cocoa",3.75
1464,1522,Manoa,U.S.A.,2015,Papua New Guinea,Markham Valley,72%,"3- B,S,C","smoke, fruit",3.5
1465,1522,Manoa,U.S.A.,2015,Costa Rica,Coto Brus,72%,"3- B,S,C","dried fruit, balanced, cocoa",3.75
1466,2032,Manoa,U.S.A.,2017,Peru,Ucayali,70%,"3- B,S,C","sweet, fatty, fig",3.25
